ts,T,H,PMS1,PMS2_5,PMS10,CO2,NO2,CO,VoC,C2H5OH
2023-04-17 08:01:33,31.236763,48.878986,66.77525,125.51129,135.24004,408.95483,259.2529,176.00142,255.48366,192.00728
2023-04-17 08:01:34,31.235659,48.88598,66.64073,124.42027,133.36949,408.5106,258.62415,176.19746,255.30649,191.83818
2023-04-17 08:01:35,31.236515,48.876972,66.509186,123.41302,131.56361,408.2398,258.00906,176.0609,255.19069,191.87886
2023-04-17 08:01:36,31.231262,48.875965,66.51807,122.639496,130.21564,407.70612,257.92807,176.40857,254.94867,191.89066
2023-04-17 08:01:37,31.232563,48.875,66.36036,121.76679,128.7709,407.38123,257.81302,176.87782,254.99135,191.87518
2023-04-17 08:01:38,31.23882,48.881035,66.40104,121.13189,128.22949,407.05045,257.66736,177.02792,255.00276,191.97456
2023-04-17 08:01:39,31.235077,48.88418,66.21142,120.496124,127.189835,406.4745,257.66318,177.40874,254.85565,191.92572
2023-04-17 08:01:40,31.23383,48.886143,66.304825,119.66278,126.23022,406.4223,257.6305,177.61276,254.76132,191.92693
2023-04-17 08:01:41,31.242958,48.908955,67.182304,127.71311,138.97583,410.9832,261.68314,175.71634,256.34067,193.41139
2023-04-17 08:01:42,31.245037,48.909748,67.18078,126.857086,137.40355,410.58994,260.93884,175.92574,256.09845,193.3187
2023-04-17 08:01:43,31.246284,48.904884,66.95495,125.7287,135.4643,410.39313,260.41772,176.20372,255.84073,193.46451
2023-04-17 08:01:44,31.245174,48.911938,66.81967,124.654434,133.62117,409.94308,259.7998,176.39603,255.66895,193.2959
2023-04-17 08:01:45,31.246025,48.90319,66.69192,123.6666,131.84856,409.6655,259.1946,176.26343,255.55852,193.33621
2023-04-17 08:01:46,31.240788,48.902374,66.70238,122.911606,130.53374,409.13284,259.11844,176.61038,255.3208,193.34569
2023-04-17 08:01:47,31.242064,48.90156,66.54576,122.05304,129.11566,408.8032,259.0122,177.0829,255.36897,193.33124
2023-04-17 08:01:48,31.248343,48.907692,66.58262,121.434875,128.59375,408.468,258.87454,177.23386,255.38249,193.42955
2023-04-17 08:01:49,31.244595,48.91096,66.39777,120.812836,127.578606,407.89618,258.87106,177.6096,255.23866,193.3809
2023-04-17 08:01:50,31.24336,48.912987,66.49132,119.99565,126.63087,407.84024,258.84344,177.81596,255.14862,193.38155
2023-04-17 08:01:51,31.251732,48.93932,67.35269,127.908646,139.17871,412.4051,262.87387,175.9151,256.66544,194.82475
2023-04-17 08:01:52,31.253798,48.940285,67.35066,127.064156,137.62463,412.0072,262.15173,176.12848,256.43356,194.73402
2023-04-17 08:01:53,31.255041,48.935654,67.12914,125.95475,135.70728,411.8039,261.64548,176.4043,256.18405,194.87985
2023-04-17 08:01:54,31.253922,48.9428,66.99506,124.89889,133.891,411.35184,261.0372,176.59186,256.01828,194.71269
2023-04-17 08:01:55,31.254774,48.934322,66.87232,123.93143,132.15173,411.071,260.44064,176.46223,255.91374,194.75354
2023-04-17 08:01:56,31.249548,48.93371,66.88614,123.19582,130.86739,410.54294,260.36832,176.80849,255.68106,194.7617
2023-04-17 08:01:57,31.2508,48.93307,66.731606,122.352516,129.47498,410.21243,260.2695,177.28368,255.73486,194.74902
2023-04-17 08:01:58,31.2571,48.939297,66.766235,121.751595,128.97203,409.87646,260.1383,177.43538,255.75085,194.84695
2023-04-17 08:01:59,31.25335,48.942715,66.58665,121.14349,127.98086,409.31232,260.13467,177.80597,255.61044,194.79904
2023-04-17 08:02:00,31.252127,48.944813,66.6812,120.34295,127.04402,409.2563,260.111,178.01443,255.52461,194.79974
2023-04-17 08:02:01,31.260283,48.972343,67.521416,128.11311,139.39377,413.81607,264.11823,176.10812,256.9849,196.20663
2023-04-17 08:02:02,31.262333,48.97348,67.51918,127.2803,137.85764,413.41537,263.41537,176.32472,256.7627,196.11803
2023-04-17 08:02:03,31.263573,48.96908,67.30179,126.1894,135.9614,413.2074,262.92148,176.59792,256.5208,196.26419
2023-04-17 08:02:04,31.262444,48.976322,67.1692,125.15157,134.17079,412.75507,262.3208,176.78036,256.3605,196.09859
2023-04-17 08:02:05,31.263298,48.968105,67.05119,124.20366,132.46333,412.4727,261.73083,176.65292,256.2612,196.1401
2023-04-17 08:02:06,31.258081,48.96769,67.068436,123.48662,131.20755,411.95047,261.66077,176.99857,256.033,196.14717
2023-04-17 08:02:07,31.25931,48.967216,66.915855,122.657646,129.83926,411.62042,261.56766,177.47595,256.09177,196.13625
2023-04-17 08:02:08,31.26563,48.973534,66.948456,122.07289,129.3537,411.28525,261.4414,177.62817,256.1097,196.23384
2023-04-17 08:02:09,31.261879,48.977093,66.77375,121.47773,128.38513,410.72977,261.4365,177.9937,255.97214,196.18672
2023-04-17 08:02:10,31.260666,48.979256,66.869354,120.6927,127.45799,410.675,261.41534,178.20396,255.88982,196.18753
2023-04-17 08:02:11,31.268639,49.007713,67.687744,128.32138,139.6163,415.2231,265.40137,176.29314,257.2905,197.5582
2023-04-17 08:02:12,31.270676,49.009014,67.68534,127.49973,138.09749,414.81992,264.71564,176.51282,257.07693,197.47148
2023-04-17 08:02:13,31.27191,49.004833,67.471855,126.42663,136.22127,414.60764,264.2325,176.78352,256.8419,197.61781
2023-04-17 08:02:14,31.270773,49.01216,67.34085,125.40632,134.45514,414.15515,263.63824,176.96101,256.6864,197.4536
2023-04-17 08:02:15,31.27163,49.004185,67.22737,124.477356,132.77817,413.87152,263.05377,176.83562,256.5916,197.49564
2023-04-17 08:02:16,31.266422,49.003956,67.24802,123.77832,131.54973,413.35498,262.98526,177.181,256.3674,197.50163
2023-04-17 08:02:17,31.26763,49.003635,67.09729,122.96308,130.20445,413.02542,262.89703,177.66052,256.4306,197.49231
2023-04-17 08:02:18,31.27397,49.010036,67.12798,122.39387,129.73544,412.6911,262.77505,177.81332,256.45013,197.58945
2023-04-17 08:02:19,31.270214,49.013733,66.95784,121.810974,128.78844,412.14392,262.76852,178.1741,256.31497,197.54305
2023-04-17 08:02:20,31.269012,49.015957,67.05455,121.04079,127.870316,412.0904,262.74936,178.38608,256.23578,197.54391
2023-04-17 08:02:21,31.276812,49.045315,67.851135,128.53142,139.84398,416.6294,266.71768,176.47124,257.5769,198.88004
2023-04-17 08:02:22,31.278833,49.046772,67.84861,127.720505,138.34193,416.22348,266.0477,176.69408,257.37128,198.7949
2023-04-17 08:02:23,31.280062,49.042797,67.63892,126.66462,136.48482,416.00674,265.5744,176.96255,257.1425,198.94138
2023-04-17 08:02:24,31.278915,49.0502,67.509636,125.66139,134.7422,415.5538,264.9859,177.1353,256.9913,198.77832
2023-04-17 08:02:25,31.279774,49.042458,67.40061,124.750946,133.09465,415.26874,264.40634,177.01202,256.90067,198.82079
2023-04-17 08:02:26,31.274576,49.042404,67.42468,124.06963,131.89267,414.7574,264.33917,177.35744,256.68015,198.82568
2023-04-17 08:02:27,31.275763,49.042225,67.27577,123.26772,130.56953,414.42792,264.2553,177.83919,256.74747,198.81787
2023-04-17 08:02:28,31.28212,49.048706,67.30469,122.71364,130.11668,414.09418,264.13736,177.99263,256.76837,198.91452
2023-04-17 08:02:29,31.278364,49.052532,67.13887,122.14254,129.19035,413.55463,264.1291,178.34898,256.6354,198.86879
2023-04-17 08:02:30,31.27717,49.054813,67.23679,121.38675,128.28082,413.50204,264.1117,178.56267,256.55905,198.86964
2023-04-17 08:02:31,31.284784,49.08512,68.01132,128.74236,140.0756,418.0351,268.06668,176.64435,257.8412,200.17279
